prompt_id,baseline_elapsed_seconds,zeus_elapsed_seconds,speedup,mean_psnr,min_psnr,psnr_frames,zeus_reuse_count,zeus_recompute_count,zeus_reuse_branch_call_count,zeus_recompute_branch_call_count,zeus_skipping_path,zeus_recompute_path,baseline_video,zeus_video,baseline_log,zeus_log,baseline_ffprobe,zeus_ffprobe
01,522.872,263.628,1.9833705069264265,22.226000000000006,20.17,45,25,25,50,50,"('high', 'cond'):[9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 27, 29, 30, 31] | ('high', 'uncond'):[9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 27, 29, 30, 31] | ('low', 'cond'):[35, 37, 38, 39, 41, 42, 43, 45, 46] | ('low', 'uncond'):[35, 37, 38, 39, 41, 42, 43, 45, 46]","('high', 'cond'):[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 17, 20, 23, 24, 28] | ('high', 'uncond'):[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 17, 20, 23, 24, 28] | ('low', 'cond'):[32, 33, 34, 36, 40, 44, 47, 48, 49] | ('low', 'uncond'):[32, 33, 34, 36, 40, 44, 47, 48, 49]",/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/baseline/prompt_01.mp4,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/zeus/prompt_01.mp4,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/logs/baseline_prompt_01.log,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/logs/zeus_prompt_01.log,"{""programs"": [], ""stream_groups"": [], ""streams"": [{""avg_frame_rate"": ""16/1"", ""duration"": ""2.812500"", ""height"": 480, ""nb_frames"": ""45"", ""nb_read_frames"": ""45"", ""r_frame_rate"": ""16/1"", ""width"": 832}]}","{""programs"": [], ""stream_groups"": [], ""streams"": [{""avg_frame_rate"": ""16/1"", ""duration"": ""2.812500"", ""height"": 480, ""nb_frames"": ""45"", ""nb_read_frames"": ""45"", ""r_frame_rate"": ""16/1"", ""width"": 832}]}"
02,521.857,263.626,1.9795354024261644,23.413777777777774,21.62,45,25,25,50,50,"('high', 'cond'):[9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 27, 29, 30, 31] | ('high', 'uncond'):[9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 27, 29, 30, 31] | ('low', 'cond'):[35, 37, 38, 39, 41, 42, 43, 45, 46] | ('low', 'uncond'):[35, 37, 38, 39, 41, 42, 43, 45, 46]","('high', 'cond'):[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 17, 20, 23, 24, 28] | ('high', 'uncond'):[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 17, 20, 23, 24, 28] | ('low', 'cond'):[32, 33, 34, 36, 40, 44, 47, 48, 49] | ('low', 'uncond'):[32, 33, 34, 36, 40, 44, 47, 48, 49]",/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/baseline/prompt_02.mp4,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/zeus/prompt_02.mp4,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/logs/baseline_prompt_02.log,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/logs/zeus_prompt_02.log,"{""programs"": [], ""stream_groups"": [], ""streams"": [{""avg_frame_rate"": ""16/1"", ""duration"": ""2.812500"", ""height"": 480, ""nb_frames"": ""45"", ""nb_read_frames"": ""45"", ""r_frame_rate"": ""16/1"", ""width"": 832}]}","{""programs"": [], ""stream_groups"": [], ""streams"": [{""avg_frame_rate"": ""16/1"", ""duration"": ""2.812500"", ""height"": 480, ""nb_frames"": ""45"", ""nb_read_frames"": ""45"", ""r_frame_rate"": ""16/1"", ""width"": 832}]}"
03,522.431,263.447,1.98305921115063,30.060666666666673,28.64,45,25,25,50,50,"('high', 'cond'):[9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 27, 29, 30, 31] | ('high', 'uncond'):[9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 27, 29, 30, 31] | ('low', 'cond'):[35, 37, 38, 39, 41, 42, 43, 45, 46] | ('low', 'uncond'):[35, 37, 38, 39, 41, 42, 43, 45, 46]","('high', 'cond'):[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 17, 20, 23, 24, 28] | ('high', 'uncond'):[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 17, 20, 23, 24, 28] | ('low', 'cond'):[32, 33, 34, 36, 40, 44, 47, 48, 49] | ('low', 'uncond'):[32, 33, 34, 36, 40, 44, 47, 48, 49]",/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/baseline/prompt_03.mp4,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/zeus/prompt_03.mp4,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/logs/baseline_prompt_03.log,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/logs/zeus_prompt_03.log,"{""programs"": [], ""stream_groups"": [], ""streams"": [{""avg_frame_rate"": ""16/1"", ""duration"": ""2.812500"", ""height"": 480, ""nb_frames"": ""45"", ""nb_read_frames"": ""45"", ""r_frame_rate"": ""16/1"", ""width"": 832}]}","{""programs"": [], ""stream_groups"": [], ""streams"": [{""avg_frame_rate"": ""16/1"", ""duration"": ""2.812500"", ""height"": 480, ""nb_frames"": ""45"", ""nb_read_frames"": ""45"", ""r_frame_rate"": ""16/1"", ""width"": 832}]}"
04,531.003,268.301,1.9791316469189457,19.67888888888889,18.11,45,25,25,50,50,"('high', 'cond'):[9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 27, 29, 30, 31] | ('high', 'uncond'):[9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 27, 29, 30, 31] | ('low', 'cond'):[35, 37, 38, 39, 41, 42, 43, 45, 46] | ('low', 'uncond'):[35, 37, 38, 39, 41, 42, 43, 45, 46]","('high', 'cond'):[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 17, 20, 23, 24, 28] | ('high', 'uncond'):[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 17, 20, 23, 24, 28] | ('low', 'cond'):[32, 33, 34, 36, 40, 44, 47, 48, 49] | ('low', 'uncond'):[32, 33, 34, 36, 40, 44, 47, 48, 49]",/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/baseline/prompt_04.mp4,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/zeus/prompt_04.mp4,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/logs/baseline_prompt_04.log,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/logs/zeus_prompt_04.log,"{""programs"": [], ""stream_groups"": [], ""streams"": [{""avg_frame_rate"": ""16/1"", ""duration"": ""2.812500"", ""height"": 480, ""nb_frames"": ""45"", ""nb_read_frames"": ""45"", ""r_frame_rate"": ""16/1"", ""width"": 832}]}","{""programs"": [], ""stream_groups"": [], ""streams"": [{""avg_frame_rate"": ""16/1"", ""duration"": ""2.812500"", ""height"": 480, ""nb_frames"": ""45"", ""nb_read_frames"": ""45"", ""r_frame_rate"": ""16/1"", ""width"": 832}]}"
05,531.946,268.075,1.984317821505176,37.056222222222225,35.2,45,25,25,50,50,"('high', 'cond'):[9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 27, 29, 30, 31] | ('high', 'uncond'):[9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 27, 29, 30, 31] | ('low', 'cond'):[35, 37, 38, 39, 41, 42, 43, 45, 46] | ('low', 'uncond'):[35, 37, 38, 39, 41, 42, 43, 45, 46]","('high', 'cond'):[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 17, 20, 23, 24, 28] | ('high', 'uncond'):[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 17, 20, 23, 24, 28] | ('low', 'cond'):[32, 33, 34, 36, 40, 44, 47, 48, 49] | ('low', 'uncond'):[32, 33, 34, 36, 40, 44, 47, 48, 49]",/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/baseline/prompt_05.mp4,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/zeus/prompt_05.mp4,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/logs/baseline_prompt_05.log,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/logs/zeus_prompt_05.log,"{""programs"": [], ""stream_groups"": [], ""streams"": [{""avg_frame_rate"": ""16/1"", ""duration"": ""2.812500"", ""height"": 480, ""nb_frames"": ""45"", ""nb_read_frames"": ""45"", ""r_frame_rate"": ""16/1"", ""width"": 832}]}","{""programs"": [], ""stream_groups"": [], ""streams"": [{""avg_frame_rate"": ""16/1"", ""duration"": ""2.812500"", ""height"": 480, ""nb_frames"": ""45"", ""nb_read_frames"": ""45"", ""r_frame_rate"": ""16/1"", ""width"": 832}]}"
06,532.251,262.693,2.0261331668525617,20.267999999999997,19.89,45,25,25,50,50,"('high', 'cond'):[9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 27, 29, 30, 31] | ('high', 'uncond'):[9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 27, 29, 30, 31] | ('low', 'cond'):[35, 37, 38, 39, 41, 42, 43, 45, 46] | ('low', 'uncond'):[35, 37, 38, 39, 41, 42, 43, 45, 46]","('high', 'cond'):[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 17, 20, 23, 24, 28] | ('high', 'uncond'):[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 17, 20, 23, 24, 28] | ('low', 'cond'):[32, 33, 34, 36, 40, 44, 47, 48, 49] | ('low', 'uncond'):[32, 33, 34, 36, 40, 44, 47, 48, 49]",/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/baseline/prompt_06.mp4,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/zeus/prompt_06.mp4,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/logs/baseline_prompt_06.log,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/logs/zeus_prompt_06.log,"{""programs"": [], ""stream_groups"": [], ""streams"": [{""avg_frame_rate"": ""16/1"", ""duration"": ""2.812500"", ""height"": 480, ""nb_frames"": ""45"", ""nb_read_frames"": ""45"", ""r_frame_rate"": ""16/1"", ""width"": 832}]}","{""programs"": [], ""stream_groups"": [], ""streams"": [{""avg_frame_rate"": ""16/1"", ""duration"": ""2.812500"", ""height"": 480, ""nb_frames"": ""45"", ""nb_read_frames"": ""45"", ""r_frame_rate"": ""16/1"", ""width"": 832}]}"
07,522.066,263.245,1.9831943626659576,27.785555555555554,26.23,45,25,25,50,50,"('high', 'cond'):[9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 27, 29, 30, 31] | ('high', 'uncond'):[9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 27, 29, 30, 31] | ('low', 'cond'):[35, 37, 38, 39, 41, 42, 43, 45, 46] | ('low', 'uncond'):[35, 37, 38, 39, 41, 42, 43, 45, 46]","('high', 'cond'):[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 17, 20, 23, 24, 28] | ('high', 'uncond'):[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 17, 20, 23, 24, 28] | ('low', 'cond'):[32, 33, 34, 36, 40, 44, 47, 48, 49] | ('low', 'uncond'):[32, 33, 34, 36, 40, 44, 47, 48, 49]",/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/baseline/prompt_07.mp4,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/zeus/prompt_07.mp4,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/logs/baseline_prompt_07.log,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/logs/zeus_prompt_07.log,"{""programs"": [], ""stream_groups"": [], ""streams"": [{""avg_frame_rate"": ""16/1"", ""duration"": ""2.812500"", ""height"": 480, ""nb_frames"": ""45"", ""nb_read_frames"": ""45"", ""r_frame_rate"": ""16/1"", ""width"": 832}]}","{""programs"": [], ""stream_groups"": [], ""streams"": [{""avg_frame_rate"": ""16/1"", ""duration"": ""2.812500"", ""height"": 480, ""nb_frames"": ""45"", ""nb_read_frames"": ""45"", ""r_frame_rate"": ""16/1"", ""width"": 832}]}"
08,522.546,263.538,1.9828108280399792,16.821555555555562,14.71,45,25,25,50,50,"('high', 'cond'):[9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 27, 29, 30, 31] | ('high', 'uncond'):[9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 27, 29, 30, 31] | ('low', 'cond'):[35, 37, 38, 39, 41, 42, 43, 45, 46] | ('low', 'uncond'):[35, 37, 38, 39, 41, 42, 43, 45, 46]","('high', 'cond'):[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 17, 20, 23, 24, 28] | ('high', 'uncond'):[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 17, 20, 23, 24, 28] | ('low', 'cond'):[32, 33, 34, 36, 40, 44, 47, 48, 49] | ('low', 'uncond'):[32, 33, 34, 36, 40, 44, 47, 48, 49]",/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/baseline/prompt_08.mp4,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/zeus/prompt_08.mp4,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/logs/baseline_prompt_08.log,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/logs/zeus_prompt_08.log,"{""programs"": [], ""stream_groups"": [], ""streams"": [{""avg_frame_rate"": ""16/1"", ""duration"": ""2.812500"", ""height"": 480, ""nb_frames"": ""45"", ""nb_read_frames"": ""45"", ""r_frame_rate"": ""16/1"", ""width"": 832}]}","{""programs"": [], ""stream_groups"": [], ""streams"": [{""avg_frame_rate"": ""16/1"", ""duration"": ""2.812500"", ""height"": 480, ""nb_frames"": ""45"", ""nb_read_frames"": ""45"", ""r_frame_rate"": ""16/1"", ""width"": 832}]}"
09,522.572,264.325,1.9770055802515842,18.891777777777772,17.58,45,25,25,50,50,"('high', 'cond'):[9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 27, 29, 30, 31] | ('high', 'uncond'):[9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 27, 29, 30, 31] | ('low', 'cond'):[35, 37, 38, 39, 41, 42, 43, 45, 46] | ('low', 'uncond'):[35, 37, 38, 39, 41, 42, 43, 45, 46]","('high', 'cond'):[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 17, 20, 23, 24, 28] | ('high', 'uncond'):[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 17, 20, 23, 24, 28] | ('low', 'cond'):[32, 33, 34, 36, 40, 44, 47, 48, 49] | ('low', 'uncond'):[32, 33, 34, 36, 40, 44, 47, 48, 49]",/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/baseline/prompt_09.mp4,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/zeus/prompt_09.mp4,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/logs/baseline_prompt_09.log,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/logs/zeus_prompt_09.log,"{""programs"": [], ""stream_groups"": [], ""streams"": [{""avg_frame_rate"": ""16/1"", ""duration"": ""2.812500"", ""height"": 480, ""nb_frames"": ""45"", ""nb_read_frames"": ""45"", ""r_frame_rate"": ""16/1"", ""width"": 832}]}","{""programs"": [], ""stream_groups"": [], ""streams"": [{""avg_frame_rate"": ""16/1"", ""duration"": ""2.812500"", ""height"": 480, ""nb_frames"": ""45"", ""nb_read_frames"": ""45"", ""r_frame_rate"": ""16/1"", ""width"": 832}]}"
10,532.481,268.362,1.9841892667367211,20.848222222222223,18.64,45,25,25,50,50,"('high', 'cond'):[9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 27, 29, 30, 31] | ('high', 'uncond'):[9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 25, 26, 27, 29, 30, 31] | ('low', 'cond'):[35, 37, 38, 39, 41, 42, 43, 45, 46] | ('low', 'uncond'):[35, 37, 38, 39, 41, 42, 43, 45, 46]","('high', 'cond'):[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 17, 20, 23, 24, 28] | ('high', 'uncond'):[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 17, 20, 23, 24, 28] | ('low', 'cond'):[32, 33, 34, 36, 40, 44, 47, 48, 49] | ('low', 'uncond'):[32, 33, 34, 36, 40, 44, 47, 48, 49]",/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/baseline/prompt_10.mp4,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/zeus/prompt_10.mp4,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/logs/baseline_prompt_10.log,/hy-tmp/wan22_zeus_timestep_cache_50step_45f_480p_full_20260608_114307/logs/zeus_prompt_10.log,"{""programs"": [], ""stream_groups"": [], ""streams"": [{""avg_frame_rate"": ""16/1"", ""duration"": ""2.812500"", ""height"": 480, ""nb_frames"": ""45"", ""nb_read_frames"": ""45"", ""r_frame_rate"": ""16/1"", ""width"": 832}]}","{""programs"": [], ""stream_groups"": [], ""streams"": [{""avg_frame_rate"": ""16/1"", ""duration"": ""2.812500"", ""height"": 480, ""nb_frames"": ""45"", ""nb_read_frames"": ""45"", ""r_frame_rate"": ""16/1"", ""width"": 832}]}"
